nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirstPartyWinner,Acc_IssueArea
2,0.9188353374559897,2,2,0.7851003153755364,0.51952770208901,0.3957008779897063
3,0.5634403801337748,2,2,0.7815350745572333,0.4389948531637905,0.40387526491068726
4,0.488066701700837,2,2,0.7211694590623722,0.43869209809264303,0.4011504692703603
5,0.35001083118801507,2,2,0.7287889877346119,0.41992128368150167,0.3884347562821677
6,0.3267309992950932,2,2,0.7211004735974487,0.387223735997578,0.38086587950348166
7,0.26263716326244724,2,2,0.7198609276803265,0.3869209809264305,0.38086587950348166
8,0.22815145216706267,2,2,0.7203833207790276,0.36633363608840447,0.3578564940962761
9,0.22147695079460672,2,2,0.715807035172818,0.36633363608840447,0.358462004238571
10,0.19493065941929982,2,2,0.7149467127131367,0.36633363608840447,0.35815924916742353
11,0.17727960646530272,2,2,0.7152503865988902,0.32334241598546776,0.34847108689070544
12,0.16341023076695183,2,2,0.7132279001905929,0.32334241598546776,0.3478655767484105
13,0.1533710329330686,2,2,0.7019221044198518,0.32334241598546776,0.34665455646382076
14,0.14200174944873162,2,2,0.7010545882672827,0.32334241598546776,0.3445352709657887
15,0.1355067626222642,2,2,0.6971342527054034,0.32334241598546776,0.34483802603693614
16,0.12338350112221437,2,2,0.6983657230326379,0.32334241598546776,0.3439297608234938
17,0.11904370088813958,2,2,0.7010734144894184,0.32334241598546776,0.3439297608234938
18,0.10572758242904853,2,2,0.6867960828327968,0.3230396609143203,0.3384801695428398
19,0.09570756709809528,2,2,0.6889079713313978,0.3230396609143203,0.3387829246139873
2,1.410182317941633,2,52,0.5161756752463075,0.6194368755676658,0.29125037844383894
3,0.9650131562018005,2,52,0.613564115888293,0.5052982137450802,0.29851650015137754
4,0.8529708430180836,2,52,0.5900702006084565,0.4998486224644263,0.2724795640326976
5,0.7341792655672312,2,52,0.5725381742804636,0.4983348471086891,0.2670299727520436
6,0.7324488288676476,2,52,0.5084941126083539,0.4943990311837723,0.2503784438389343
7,0.6710250448183765,2,52,0.5015218853088125,0.4838026036936119,0.24553436270057524
8,0.6581250904580369,2,52,0.49131762720906186,0.4838026036936119,0.24553436270057524
9,0.6064809437470509,2,52,0.4627588711832861,0.4535270965788677,0.24583711777172268
10,0.5680014400668183,2,52,0.2791404371568462,0.37904934907659704,0.18740538904026643
11,0.5632918411677524,2,52,0.2882062777931986,0.37904934907659704,0.18528610354223432
12,0.4750224423666429,2,52,0.28441654412631495,0.37904934907659704,0.18528610354223432
13,0.4498132651733606,2,52,0.2839821976039694,0.37904934907659704,0.18528610354223432
14,0.43989107335430994,2,52,0.2557906972214589,0.24402058734483803,0.210414774447472
15,0.4310979440158145,2,52,0.25444883084883935,0.24402058734483803,0.210414774447472
16,0.39708454887102834,2,52,0.2608748485837312,0.24402058734483803,0.20829548894943992
17,0.3929979998491794,2,52,0.2601313014559023,0.24402058734483803,0.20829548894943992
18,0.39137605263215947,2,52,0.2564770749611884,0.24402058734483803,0.20799273387829245
19,0.343164451814969,2,52,0.25426487802164377,0.24402058734483803,0.20799273387829245
2,5.710770443585273,52,52,0.02822448191148945,0.6142900393581593,0.26067211625794734
3,5.537568237460259,52,52,0.016249097364151546,0.4765364819860733,0.27823191038449896
4,5.364652618025041,52,52,0.01797397887309079,0.47593097184377836,0.2742960944595822
5,5.321572230176484,52,52,0.011144593524144987,0.45746291250378446,0.2736905843172873
6,5.181550136965074,52,52,0.0051856792988940765,0.45746291250378446,0.27338782924613986
7,5.116376941158682,52,52,0.002629908118274694,0.45746291250378446,0.27762640024220403
8,4.9943402202730125,52,52,0.00481672863122056,0.45746291250378446,0.2758098698153194
9,4.958678009344906,52,52,0.00039364080381777374,0.45322434150772023,0.27702089009990916
10,4.951205885780673,52,52,0.0027799282540334523,0.45322434150772023,0.27702089009990916
11,4.797258012454817,52,52,0.004342731324511031,0.45322434150772023,0.27338782924613986
12,4.733265529919161,52,52,0.024205634189910417,0.32909476233726914,0.20435967302452315
13,4.6805416991276285,52,52,0.02475657211364694,0.32909476233726914,0.20435967302452315
14,4.630659003212401,52,52,0.023264447158392317,0.32909476233726914,0.2067817135937027
15,4.611869695610238,52,52,0.023013365635381953,0.32909476233726914,0.2061762034514078
16,4.451157478887597,52,52,0.034525929409824,0.2815622161671208,0.2198001816530427
17,4.443240679638601,52,52,0.03242977443970607,0.2815622161671208,0.21465334544353618
18,4.436684831495248,52,52,0.03335645957034684,0.2815622161671208,0.21465334544353618
19,4.418596242047735,52,52,0.03375484361429017,0.2815622161671208,0.21465334544353618
2,1.4042801447389635,2,102,0.6769124101168621,0.6224644262791402,0.22040569179533756
3,1.0124598652331256,2,102,0.6651161185513912,0.6121707538601272,0.22918558885861337
4,0.9215776216458398,2,102,0.3995865670061896,0.542839842567363,0.27338782924613986
5,0.767663804396435,2,102,0.5146351689976243,0.4644262791401756,0.27974568574023617
6,0.5716711615729579,2,102,0.509262617333101,0.4644262791401756,0.2800484408113836
7,0.5685925109203392,2,102,0.5399759784836545,0.4411141386618226,0.28640629730547984
8,0.5141143475488148,2,102,0.5212027904664759,0.43869209809264303,0.27702089009990916
9,0.48772028702570813,2,102,0.4964410354481378,0.43869209809264303,0.27490160460187707
10,0.4768928375169478,2,102,0.5008908540877759,0.4383893430214956,0.27459884953072966
11,0.406984573964941,2,102,0.499823278197905,0.4383893430214956,0.27459884953072966
12,0.40264584244725193,2,102,0.500540061747772,0.4383893430214956,0.27459884953072966
13,0.36680255390155114,2,102,0.4984272321627875,0.4383893430214956,0.27459884953072966
14,0.35485565685392817,2,102,0.4974227271748337,0.4383893430214956,0.2742960944595822
15,0.3478352191286276,2,102,0.4969522185786969,0.4383893430214956,0.2742960944595822
16,0.3466055604697805,2,102,0.5085916180377826,0.4087193460490463,0.27338782924613986
17,0.3069602087382482,2,102,0.47581188789277956,0.3960036330608538,0.23312140478353013
18,0.3007711899921746,2,102,0.47493441689681726,0.3960036330608538,0.23312140478353013
19,0.2739020319662412,2,102,0.4792029025368709,0.3960036330608538,0.23312140478353013
2,6.323184129349491,52,102,0.0108164415050399,0.577051165607024,0.2506811989100817
3,6.279297340481029,52,102,-0.007516180829867497,0.537390251286709,0.2528004844081138
4,5.92294115485025,52,102,-0.0012767021290842999,0.45019679079624586,0.2685437481077808
5,5.809814831029167,52,102,-0.014159766316550304,0.43505903723887374,0.26945201332122315
6,5.709640505652774,52,102,-0.009487426024358437,0.43505903723887374,0.2655161973963064
7,5.6822050598871785,52,102,-0.0076466445911752955,0.43505903723887374,0.26581895246745385
8,5.6320361493505775,52,102,-0.007723166440091733,0.43505903723887374,0.26581895246745385
9,5.519969175148619,52,102,-0.019262204934924407,0.43263699666969424,0.2655161973963064
10,5.4555753638328355,52,102,-0.01672927961473758,0.43263699666969424,0.270057523463518
11,5.354097867695103,52,102,-0.010776699520244072,0.40962761126248864,0.25855283075991525
12,5.2934286379585895,52,102,0.0020481482106972054,0.322131395700878,0.2655161973963064
13,5.1906861050634125,52,102,0.0023767769866952274,0.322131395700878,0.26612170753860126
14,5.090990889986576,52,102,0.004042518021986742,0.322131395700878,0.26581895246745385
15,5.057732000971267,52,102,0.008279863036130352,0.322131395700878,0.26612170753860126
16,5.005797221810476,52,102,0.010608474528925875,0.322131395700878,0.2676354828943385
17,5.003493366480905,52,102,0.011397195907056198,0.322131395700878,0.2676354828943385
18,4.972745892316671,52,102,0.01240087925316874,0.322131395700878,0.2676354828943385
19,4.969952686100593,52,102,0.011678668155142433,0.322131395700878,0.2676354828943385
2,8.153114478303564,102,102,0.030628353101599583,0.5782621858916137,0.25522252497729336
3,7.661159813087348,102,102,0.024207645922487513,0.5370874962155616,0.2512867090523766
4,7.333832874728722,102,102,0.019718088191362445,0.5331516802906449,0.24916742355434454
5,7.323246274288342,102,102,0.0140955793131722,0.5280048440811383,0.24613987284287012
6,7.248387797256602,102,102,0.015557840156910292,0.5280048440811383,0.2482591583409022
7,6.960453339361528,102,102,0.017312969009550434,0.5110505600968817,0.24947017862549198
8,6.882431134236071,102,102,0.01706514209151008,0.444141689373297,0.24856191341204964
9,6.77006858761665,102,102,0.014966193192339326,0.44232515894641233,0.246745382985165
10,6.712113259667111,102,102,0.015135426534791416,0.44232515894641233,0.2473508931274599
11,6.705934844737711,102,102,0.01604211953280091,0.44232515894641233,0.2473508931274599
12,6.691434894052596,102,102,0.016700599434613328,0.44232515894641233,0.24795640326975477
13,6.602250063231378,102,102,0.016571901464309,0.44232515894641233,0.24795640326975477
14,6.544775605627735,102,102,0.017060664406322094,0.44232515894641233,0.24795640326975477
15,6.526660384316435,102,102,0.018527965157018367,0.44232515894641233,0.2473508931274599
16,6.459112554198256,102,102,0.021385683430366696,0.44232515894641233,0.2431123221313957
17,6.368995419462376,102,102,0.019626788604604133,0.44232515894641233,0.24280956706024825
18,6.346873177526916,102,102,0.019452356987980708,0.44232515894641233,0.24280956706024825
19,6.341902567937717,102,102,0.020746667399756082,0.44232515894641233,0.2431123221313957
2,0.896737987771981,2,152,0.7303350337952278,0.6215561610656979,0.2191946715107478
3,0.7625649675365722,2,152,0.6576235332564024,0.5600968816227672,0.2591583409022101
4,0.6784861834583664,2,152,0.6516810404897007,0.5600968816227672,0.25946109597335754
5,0.5705006697693675,2,152,0.5951999758269094,0.5056009688162276,0.2615803814713896
6,0.49481123421783446,2,152,0.5887924881502826,0.5056009688162276,0.2612776264002422
7,0.47133031665171277,2,152,0.5578494293657978,0.5056009688162276,0.2612776264002422
8,0.40047379829028107,2,152,0.5554731316741246,0.5056009688162276,0.2615803814713896
9,0.36706780720616927,2,152,0.5455374945310264,0.49530729639721466,0.2264607932182864
10,0.3329413580400566,2,152,0.5396724340180222,0.49530729639721466,0.2264607932182864
11,0.32058250117521897,2,152,0.5103951663559082,0.49530729639721466,0.22615803814713897
12,0.3097683930495318,2,152,0.316227104619065,0.4035725098395398,0.22827732364517106
13,0.2966256763773011,2,152,0.31548671895145586,0.4035725098395398,0.22827732364517106
14,0.2731618126227729,2,152,0.31693973397044783,0.4035725098395398,0.2285800787163185
15,0.25063144007893096,2,152,0.311993363246634,0.4035725098395398,0.22827732364517106
16,0.23506056164215042,2,152,0.31469436865744904,0.4035725098395398,0.22827732364517106
17,0.23297675678085722,2,152,0.31285994178404547,0.4035725098395398,0.22827732364517106
18,0.22430857200357884,2,152,0.30770751675389946,0.4035725098395398,0.22827732364517106
19,0.22182422753727343,2,152,0.3107589658811464,0.4035725098395398,0.22464426279140176
2,7.0500065085251515,52,152,0.07629283017389585,0.5773539206781714,0.29306690887072356
3,6.714939196580299,52,152,0.0725759674668885,0.547683923705722,0.2851952770208901
4,6.34816764620378,52,152,0.05143416438985632,0.5355737208598244,0.28549803209203756
5,6.241756211259311,52,152,0.05149429283224844,0.5355737208598244,0.28549803209203756
6,6.09216899727894,52,152,0.0507612917798111,0.48319709355131696,0.28398425673630034
7,6.08129509201863,52,152,0.05316406766496202,0.48319709355131696,0.28337874659400547
8,5.889937442876902,52,152,0.055974257629302096,0.48319709355131696,0.27883742052679383
9,5.887611065152786,52,152,0.05092912308343264,0.48319709355131696,0.27883742052679383
10,5.857400592850068,52,152,0.052941778510246874,0.48319709355131696,0.27914017559794124
11,5.6833881902958865,52,152,0.05804502890699179,0.48107780805328487,0.28337874659400547
12,5.512137903507339,52,152,0.03889800599434178,0.3923705722070845,0.19679079624583712
13,5.495137490432956,52,152,0.04206204500775787,0.3923705722070845,0.19618528610354224
14,5.3449282350497365,52,152,0.04601562933208195,0.3923705722070845,0.197396306388132
15,5.343781439185445,52,152,0.04738811092760026,0.39176506206478956,0.19497426581895247
16,5.297559028706862,52,152,0.044876006468008406,0.39176506206478956,0.19497426581895247
17,5.170518452154696,52,152,0.04792685563589862,0.39176506206478956,0.19406600060551013
18,5.134855468934394,52,152,0.04834799613083415,0.39176506206478956,0.19406600060551013
19,5.119892986580036,52,152,0.044907466249921,0.3602785346654556,0.1916439600363306
2,8.83139498979291,102,152,0.0005207758667806245,0.535270965788677,0.2394792612776264
3,8.519860000085513,102,152,-0.00012260817368899257,0.46987587042082957,0.2431123221313957
4,8.10918832834058,102,152,-0.015235375532799269,0.43990311837723284,0.23766273085074174
5,8.057810801588014,102,152,-0.015257587225690376,0.43990311837723284,0.23705722070844687
6,7.902579607609726,102,152,-0.013711415727422798,0.3260672116257947,0.24038752649106873
7,7.846948721888445,102,152,-0.014278694685763742,0.3242506811989101,0.2394792612776264
8,7.841157623104568,102,152,-0.015092437331326671,0.3242506811989101,0.2394792612776264
9,7.578295932660265,102,152,-0.012218293818702777,0.32394792612776263,0.23524069028156222
10,7.544373752907575,102,152,-0.019929807357687228,0.33424159854677565,0.2322131395700878
11,7.39795999083095,102,152,-0.018544154207140093,0.33424159854677565,0.2300938540720557
12,7.197537375939312,102,152,-0.016259125159345342,0.33424159854677565,0.22888283378746593
13,7.102202655412547,102,152,-0.014833361729820081,0.33424159854677565,0.22888283378746593
14,7.1011847477494845,102,152,-0.015398791494295962,0.33424159854677565,0.22615803814713897
15,7.064413348121509,102,152,-0.01427025907468893,0.33424159854677565,0.22676354828943385
16,7.018199013895959,102,152,-0.01292425478350127,0.33424159854677565,0.22676354828943385
17,6.97213542198295,102,152,-0.013113595226408294,0.33424159854677565,0.22615803814713897
18,6.9677160591144,102,152,-0.01048459864208919,0.33424159854677565,0.22585528307599154
19,6.921745055484791,102,152,-0.009515546613368168,0.33424159854677565,0.22585528307599154
2,9.8232566547395,152,152,0.06569133485496507,0.5940054495912807,0.2506811989100817
3,9.547008971097904,152,152,0.053867778628280995,0.5685740236148955,0.2473508931274599
4,9.482859736814925,152,152,0.05099686080609232,0.5280048440811383,0.2506811989100817
5,9.186805055488877,152,152,0.051524388491826216,0.5198304571601574,0.2512867090523766
6,8.9817011217728,152,152,0.05245322703853277,0.5131698455949137,0.2452316076294278
7,8.826187600739905,152,152,0.05077160412444736,0.5131698455949137,0.24341507720254316
8,8.711812456410986,152,152,0.035160337916078366,0.508628519527702,0.24280956706024825
9,8.70042565137578,152,152,0.035918650137428766,0.508628519527702,0.24159854677565848
10,8.58682727920608,152,152,0.03670712002980013,0.508628519527702,0.24159854677565848
11,8.469763300971476,152,152,0.036573941205367146,0.508628519527702,0.24159854677565848
12,8.425290351508897,152,152,0.036342812726663655,0.508628519527702,0.24159854677565848
13,8.316157441227023,152,152,0.036850576711441735,0.4925825007568877,0.23766273085074174
14,8.306358704751812,152,152,0.037989821726306744,0.4925825007568877,0.2373599757795943
15,8.14250328237264,152,152,0.03461651999961645,0.4925825007568877,0.23675446563729943
16,8.127989003308278,152,152,0.03565172117340364,0.4925825007568877,0.23675446563729943
17,8.092859136729135,152,152,0.031103313821846373,0.4895549500454133,0.23614895549500453
18,7.936128369231851,152,152,0.031697485349354064,0.4895549500454133,0.23614895549500453
19,7.895163039067681,152,152,0.03137111570730368,0.4895549500454133,0.23614895549500453
2,1.0646660997940174,2,202,0.7678424423347244,0.644262791401756,0.25552528004844083
3,0.7764601064865929,2,202,0.7192046415353992,0.6409324856191341,0.24583711777172268
4,0.6638493908834153,2,202,0.17678337759263063,0.5280048440811383,0.30033303057826216
5,0.5489185336272439,2,202,0.2569504422646992,0.46109597335755376,0.23160762942779292
6,0.5470674575242579,2,202,0.25474618428672036,0.46109597335755376,0.23160762942779292
7,0.5280183617177672,2,202,0.23956759081048914,0.45413260672116257,0.22767181350287619
8,0.5214862565587093,2,202,0.23513919390711802,0.45413260672116257,0.22736905843172872
9,0.4722400413053671,2,202,0.2381214745954682,0.45413260672116257,0.22736905843172872
10,0.39220398620112085,2,202,0.23936263962662108,0.45413260672116257,0.2264607932182864
11,0.33691379684666656,2,202,0.2840451623896657,0.4411141386618226,0.210414774447472
12,0.3299939381686963,2,202,0.28108299100259154,0.4411141386618226,0.210414774447472
13,0.32992885913001163,2,202,0.2811764491446992,0.4411141386618226,0.210414774447472
14,0.31297570270097463,2,202,0.27749142498726814,0.4411141386618226,0.21071752951861944
15,0.3049028277519136,2,202,0.28122399745191556,0.4411141386618226,0.2089009990917348
16,0.2901159128834293,2,202,0.2798642653971379,0.4411141386618226,0.2089009990917348
17,0.25894297802648975,2,202,0.27998352847101,0.4411141386618226,0.2089009990917348
18,0.2514078583876429,2,202,0.3295952142858901,0.3957008779897063,0.2249470178625492
19,0.24011721343399467,2,202,0.32817139162275455,0.3957008779897063,0.22464426279140176
2,7.016306053544206,52,202,0.14545239652804207,0.6142900393581593,0.27823191038449896
3,6.6484287126083705,52,202,0.14181753181431034,0.6136845292158644,0.27853466545564637
4,6.469758349841031,52,202,0.1388093568671696,0.5994550408719346,0.283075991522858
5,6.2415703885560925,52,202,0.09722863444550355,0.5507114744171965,0.28549803209203756
6,6.132506403463785,52,202,0.07106878876160894,0.45019679079624586,0.2198001816530427
7,6.004098388242751,52,202,0.07179150139533537,0.45019679079624586,0.2198001816530427
8,5.85305033051354,52,202,0.07297628807010047,0.44353617923100214,0.21949742658189525
9,5.83488813561963,52,202,0.07326723443634732,0.44353617923100214,0.2198001816530427
10,5.706621017314149,52,202,0.047101462673054595,0.44353617923100214,0.2185891613684529
11,5.559879053765071,52,202,0.04248663625292098,0.44353617923100214,0.2185891613684529
12,5.440748635474275,52,202,0.042676179765070356,0.44353617923100214,0.2185891613684529
13,5.366531417182182,52,202,0.0430670864505054,0.433848016954284,0.21646987587042082
14,5.364071832516447,52,202,0.04552806862356757,0.433848016954284,0.21798365122615804
15,5.353310179812659,52,202,0.047421086113021566,0.433848016954284,0.21828640629730547
16,5.219147249776161,52,202,0.05153822150155255,0.433848016954284,0.21435059037238874
17,5.141270940690564,52,202,0.051835193945650525,0.42537087496215564,0.21465334544353618
18,5.081473625406703,52,202,0.03859931725120097,0.42537087496215564,0.21465334544353618
19,5.035982098604128,52,202,0.042973967822344895,0.42537087496215564,0.2125340599455041
2,9.37759495896654,102,202,0.016436930182975887,0.5098395398122919,0.24159854677565848
3,8.96577345028578,102,202,0.014214288965584947,0.49591280653950953,0.24250681198910082
4,8.542465480710485,102,202,0.012404564764866411,0.48804117468967606,0.24250681198910082
5,8.455373438929035,102,202,0.011913927340407226,0.48440811383590676,0.2409930366333636
6,8.362679657722058,102,202,0.01043419530749351,0.4765364819860733,0.24159854677565848
7,8.33665085159305,102,202,0.0109445890515799,0.4765364819860733,0.24159854677565848
8,8.31173101755689,102,202,0.012125586073598647,0.4765364819860733,0.24220405691795338
9,8.006319050788775,102,202,0.013415154045012138,0.4765364819860733,0.24250681198910082
10,7.952474950496547,102,202,0.01197196191461274,0.46200423857099604,0.24280956706024825
11,7.940994975109906,102,202,0.011970355103094858,0.45958219800181654,0.24280956706024825
12,7.906758916519967,102,202,0.011396779201530373,0.45958219800181654,0.24280956706024825
13,7.867962393981204,102,202,0.01126868149648139,0.45958219800181654,0.24280956706024825
14,7.785412541297795,102,202,0.010446905054715822,0.44232515894641233,0.2437178322736906
15,7.589638876444853,102,202,0.011786395858623984,0.44232515894641233,0.24402058734483803
16,7.585259288968114,102,202,0.008193107398379158,0.44232515894641233,0.2437178322736906
17,7.518706433427266,102,202,0.005932150098305285,0.42839842567363,0.23978201634877383
18,7.511460997699169,102,202,0.006714819797250171,0.42839842567363,0.23917650620647896
19,7.493956948152915,102,202,0.00497445543173281,0.42839842567363,0.23917650620647896
2,11.646337500319838,152,202,-0.007174032033286942,0.540115046927036,0.22464426279140176
3,11.518183701647441,152,202,-0.011514984050299912,0.457160157432637,0.21374508023009386
4,11.119954599577225,152,202,-0.01171009376300654,0.45685740236148953,0.2140478353012413
5,10.78432409216557,152,202,-0.010419635511283078,0.45685740236148953,0.2140478353012413
6,10.675934132994819,152,202,-0.008388115485969135,0.45685740236148953,0.21162579473206175
7,10.336631502930912,152,202,-0.015982831732116173,0.44898577051165606,0.20950650923402966
8,10.173698595471736,152,202,-0.015345897073730155,0.44898577051165606,0.2098092643051771
9,10.084339318568006,152,202,-0.014276370168982089,0.44898577051165606,0.21071752951861944
10,9.978042970189293,152,202,-0.014314339821882533,0.44898577051165606,0.21071752951861944
11,9.739417308124224,152,202,-0.013356601407972582,0.44898577051165606,0.2098092643051771
12,9.585549322266477,152,202,-0.013358431750300978,0.44898577051165606,0.2125340599455041
13,9.584717323834608,152,202,-0.012235687123532001,0.44898577051165606,0.2125340599455041
14,9.584045854517113,152,202,-0.011209856550024629,0.44898577051165606,0.2113230396609143
15,9.485543725872883,152,202,-0.011373565016419262,0.4477747502270663,0.20950650923402966
16,9.483854266446006,152,202,-0.011980458331387734,0.4129579170451105,0.20829548894943992
17,9.374808802509559,152,202,-0.011185766865193741,0.4129579170451105,0.2089009990917348
18,9.347858874838312,152,202,-0.010422554702222316,0.4129579170451105,0.20920375416288223
19,9.321554445376725,152,202,-0.009730151941385592,0.4129579170451105,0.20920375416288223
2,12.633769566322416,202,202,0.026138417789009816,0.5573720859824403,0.27338782924613986
3,12.206758404752017,202,202,0.026144406764497762,0.5573720859824403,0.2736905843172873
4,11.782482203389891,202,202,0.016189871150084845,0.516802906448683,0.26793823796548594
5,11.608449747151052,202,202,0.013376134353199108,0.4862246442627914,0.2579473206176203
6,11.447078842411182,202,202,0.014941526428933517,0.4862246442627914,0.25552528004844083
7,11.009012520570677,202,202,0.015615441691025966,0.4862246442627914,0.25552528004844083
8,10.933786905896675,202,202,0.01615493665318221,0.4862246442627914,0.25582803511958824
9,10.898954230972933,202,202,0.015600228510817262,0.4862246442627914,0.25885558583106266
10,10.72446190254341,202,202,0.0072725871379661685,0.43112322131395703,0.24644262791401755
11,10.708571543490748,202,202,0.007204544058173023,0.43112322131395703,0.24644262791401755
12,10.514850018262104,202,202,-0.021345657791703,0.4268846503178928,0.24553436270057524
13,10.2570393259424,202,202,-0.020259039743380117,0.4268846503178928,0.24553436270057524
14,10.191970744036206,202,202,-0.0196206677756049,0.4268846503178928,0.24553436270057524
15,10.053260159384584,202,202,-0.01855938420764733,0.4268846503178928,0.24190130184680594
16,10.025565833218451,202,202,-0.018552726246193665,0.4268846503178928,0.24190130184680594
17,9.99342184371487,202,202,-0.018207633358540042,0.4268846503178928,0.24190130184680594
18,9.972388967075885,202,202,-0.017361716846018914,0.4268846503178928,0.24129579170451104
19,9.927486966423837,202,202,-0.014881324162659883,0.4174992431123221,0.23766273085074174
